,date,geography,0-4,5-14,15-34,35-59,60-79,80plus,total
3,2020-03-04,DE,0.14285714285714285,0.42857142857142855,16.571428571428573,35.142857142857146,12.428571428571429,2.4285714285714284,67.14285714285714
4,2020-03-05,DE,0.2857142857142857,0.8571428571428571,19.0,44.142857142857146,17.142857142857142,3.7142857142857144,85.14285714285714
5,2020-03-06,DE,0.5714285714285714,1.2857142857142858,20.857142857142858,53.57142857142857,22.142857142857142,5.285714285714286,103.71428571428571
6,2020-03-07,DE,0.8571428571428571,1.7142857142857142,21.857142857142858,63.285714285714285,27.571428571428573,7.571428571428571,122.85714285714286
7,2020-03-08,DE,1.1428571428571428,2.2857142857142856,23.571428571428573,73.71428571428571,33.57142857142857,10.857142857142858,145.14285714285714
8,2020-03-09,DE,1.5714285714285714,2.857142857142857,25.714285714285715,84.57142857142857,42.285714285714285,14.428571428571429,171.42857142857142
9,2020-03-10,DE,2.0,3.5714285714285716,28.0,97.42857142857143,54.0,18.714285714285715,203.71428571428572
10,2020-03-11,DE,2.142857142857143,3.4285714285714284,30.714285714285715,113.0,66.85714285714286,23.857142857142858,240.0
11,2020-03-12,DE,2.4285714285714284,3.2857142857142856,33.857142857142854,131.85714285714286,80.0,30.857142857142858,282.2857142857143
12,2020-03-13,DE,2.4285714285714284,3.142857142857143,38.0,153.57142857142858,96.42857142857143,40.42857142857143,334.0
13,2020-03-14,DE,2.4285714285714284,3.2857142857142856,43.57142857142857,181.71428571428572,122.14285714285714,51.857142857142854,405.0
14,2020-03-15,DE,2.4285714285714284,3.2857142857142856,48.857142857142854,215.0,156.85714285714286,68.14285714285714,494.57142857142856
15,2020-03-16,DE,3.0,3.2857142857142856,55.714285714285715,260.7142857142857,201.28571428571428,92.57142857142857,616.5714285714286
16,2020-03-17,DE,3.7142857142857144,3.142857142857143,66.0,312.7142857142857,259.57142857142856,124.28571428571429,769.4285714285714
17,2020-03-18,DE,4.571428571428571,3.5714285714285716,79.0,367.7142857142857,332.57142857142856,165.85714285714286,953.2857142857143
18,2020-03-19,DE,5.857142857142857,4.0,92.0,431.7142857142857,422.7142857142857,218.71428571428572,1175.0
19,2020-03-20,DE,7.571428571428571,4.571428571428571,105.14285714285714,500.42857142857144,523.7142857142857,275.57142857142856,1417.0
20,2020-03-21,DE,9.857142857142858,4.857142857142857,119.71428571428571,570.7142857142857,633.8571428571429,341.2857142857143,1680.2857142857142
21,2020-03-22,DE,13.142857142857142,5.571428571428571,137.14285714285714,649.0,763.2857142857143,416.57142857142856,1984.7142857142858
22,2020-03-23,DE,15.428571428571429,7.0,156.42857142857142,728.4285714285714,911.5714285714286,502.0,2320.8571428571427
23,2020-03-24,DE,18.0,8.428571428571429,172.42857142857142,813.0,1075.4285714285713,600.5714285714286,2687.8571428571427
24,2020-03-25,DE,21.285714285714285,9.571428571428571,185.85714285714286,906.0,1254.7142857142858,706.4285714285714,3083.8571428571427
25,2020-03-26,DE,23.857142857142858,11.0,200.28571428571428,998.4285714285714,1444.4285714285713,813.1428571428571,3491.1428571428573
26,2020-03-27,DE,26.428571428571427,12.285714285714286,216.42857142857142,1089.5714285714287,1638.142857142857,924.8571428571429,3907.714285714286
27,2020-03-28,DE,28.285714285714285,13.571428571428571,230.71428571428572,1179.2857142857142,1830.7142857142858,1045.2857142857142,4327.857142857143
28,2020-03-29,DE,29.0,14.0,244.14285714285714,1262.142857142857,2020.4285714285713,1174.857142857143,4744.571428571428
29,2020-03-30,DE,29.857142857142858,13.0,253.14285714285714,1334.4285714285713,2188.1428571428573,1304.4285714285713,5123.0
30,2020-03-31,DE,30.428571428571427,11.857142857142858,263.57142857142856,1390.857142857143,2327.5714285714284,1425.7142857142858,5450.0
31,2020-04-01,DE,30.285714285714285,11.714285714285714,275.42857142857144,1426.5714285714287,2435.714285714286,1540.5714285714287,5720.285714285715
32,2020-04-02,DE,30.285714285714285,11.571428571428571,285.0,1442.2857142857142,2502.0,1645.5714285714287,5916.714285714285
33,2020-04-03,DE,29.428571428571427,11.857142857142858,291.2857142857143,1441.4285714285713,2540.1428571428573,1740.0,6054.142857142857
34,2020-04-04,DE,29.142857142857142,12.285714285714286,298.14285714285717,1426.0,2553.0,1815.4285714285713,6134.0
35,2020-04-05,DE,29.285714285714285,13.142857142857142,299.42857142857144,1394.4285714285713,2515.5714285714284,1864.5714285714287,6116.428571428572
36,2020-04-06,DE,29.428571428571427,15.142857142857142,299.57142857142856,1350.2857142857142,2455.714285714286,1893.857142857143,6044.285714285715
37,2020-04-07,DE,29.142857142857142,17.428571428571427,295.0,1299.7142857142858,2378.8571428571427,1908.2857142857142,5929.0
38,2020-04-08,DE,28.428571428571427,18.0,283.14285714285717,1238.5714285714287,2272.1428571428573,1892.5714285714287,5733.714285714285
39,2020-04-09,DE,27.285714285714285,17.714285714285715,271.2857142857143,1177.142857142857,2166.5714285714284,1869.0,5530.142857142857
40,2020-04-10,DE,27.0,16.428571428571427,260.14285714285717,1124.7142857142858,2062.8571428571427,1843.5714285714287,5336.142857142857
41,2020-04-11,DE,25.428571428571427,14.571428571428571,243.0,1066.142857142857,1944.857142857143,1803.0,5098.714285714285
42,2020-04-12,DE,22.857142857142858,13.0,227.42857142857142,1005.0,1835.2857142857142,1749.142857142857,4854.714285714285
43,2020-04-13,DE,20.285714285714285,10.714285714285714,213.28571428571428,941.4285714285714,1728.4285714285713,1689.0,4604.857142857143
44,2020-04-14,DE,17.857142857142858,8.571428571428571,202.28571428571428,878.4285714285714,1623.2857142857142,1617.0,4348.857142857143
45,2020-04-15,DE,15.857142857142858,7.714285714285714,197.71428571428572,828.5714285714286,1545.2857142857142,1563.142857142857,4159.428571428572
46,2020-04-16,DE,14.142857142857142,7.714285714285714,193.85714285714286,782.1428571428571,1472.7142857142858,1502.7142857142858,3974.1428571428573
47,2020-04-17,DE,12.0,8.285714285714286,188.57142857142858,732.7142857142857,1404.5714285714287,1433.7142857142858,3780.4285714285716
48,2020-04-18,DE,11.428571428571429,9.714285714285714,190.57142857142858,698.0,1355.7142857142858,1379.5714285714287,3645.285714285714
49,2020-04-19,DE,11.428571428571429,11.0,193.14285714285714,667.8571428571429,1311.4285714285713,1331.7142857142858,3526.5714285714284
50,2020-04-20,DE,11.714285714285714,12.857142857142858,195.71428571428572,642.1428571428571,1262.2857142857142,1277.0,3401.714285714286
51,2020-04-21,DE,12.285714285714286,14.142857142857142,198.0,614.2857142857143,1206.2857142857142,1224.4285714285713,3269.4285714285716
52,2020-04-22,DE,13.142857142857142,15.0,197.0,581.7142857142857,1142.0,1159.2857142857142,3108.1428571428573
53,2020-04-23,DE,14.571428571428571,15.285714285714286,194.57142857142858,551.8571428571429,1075.0,1096.5714285714287,2947.8571428571427
54,2020-04-24,DE,16.142857142857142,15.714285714285714,193.57142857142858,521.0,1001.8571428571429,1035.5714285714287,2783.8571428571427
55,2020-04-25,DE,16.285714285714285,15.428571428571429,187.0,484.7142857142857,927.4285714285714,958.5714285714286,2589.4285714285716
56,2020-04-26,DE,16.571428571428573,14.428571428571429,181.28571428571428,453.0,857.8571428571429,884.7142857142857,2407.8571428571427
57,2020-04-27,DE,16.857142857142858,12.857142857142858,173.42857142857142,423.14285714285717,794.7142857142857,812.0,2233.0
58,2020-04-28,DE,17.0,12.142857142857142,164.57142857142858,402.2857142857143,747.8571428571429,744.5714285714286,2088.4285714285716
59,2020-04-29,DE,17.142857142857142,11.0,154.71428571428572,382.7142857142857,701.7142857142857,681.5714285714286,1948.857142857143
60,2020-04-30,DE,17.0,10.142857142857142,145.28571428571428,359.57142857142856,658.2857142857143,620.2857142857143,1810.5714285714287
61,2020-05-01,DE,16.857142857142858,9.142857142857142,135.0,340.85714285714283,621.8571428571429,563.0,1686.7142857142858
62,2020-05-02,DE,17.714285714285715,8.285714285714286,128.0,323.42857142857144,581.2857142857143,518.5714285714286,1577.2857142857142
63,2020-05-03,DE,18.428571428571427,8.0,119.57142857142857,305.2857142857143,541.4285714285714,473.57142857142856,1466.2857142857142
64,2020-05-04,DE,18.714285714285715,8.0,112.85714285714286,291.42857142857144,506.57142857142856,442.0,1379.5714285714287
65,2020-05-05,DE,19.0,7.142857142857143,106.28571428571429,275.0,471.0,414.14285714285717,1292.5714285714287
66,2020-05-06,DE,18.285714285714285,7.0,102.85714285714286,264.2857142857143,444.2857142857143,394.14285714285717,1230.857142857143
67,2020-05-07,DE,17.142857142857142,7.0,100.0,259.42857142857144,422.57142857142856,378.7142857142857,1184.857142857143
68,2020-05-08,DE,15.857142857142858,6.857142857142857,97.42857142857143,253.0,404.14285714285717,366.85714285714283,1144.142857142857
69,2020-05-09,DE,14.285714285714286,7.0,94.42857142857143,249.0,390.0,357.7142857142857,1112.4285714285713
70,2020-05-10,DE,12.857142857142858,7.571428571428571,91.71428571428571,244.28571428571428,378.7142857142857,351.14285714285717,1086.2857142857142
71,2020-05-11,DE,11.714285714285714,8.428571428571429,88.14285714285714,237.85714285714286,366.0,339.57142857142856,1051.7142857142858
72,2020-05-12,DE,10.142857142857142,9.142857142857142,84.71428571428571,231.0,350.7142857142857,327.57142857142856,1013.2857142857143
73,2020-05-13,DE,9.142857142857142,9.571428571428571,79.71428571428571,222.0,332.42857142857144,314.14285714285717,967.0
74,2020-05-14,DE,8.285714285714286,10.142857142857142,73.85714285714286,211.14285714285714,313.42857142857144,302.2857142857143,919.1428571428571
75,2020-05-15,DE,7.857142857142857,11.142857142857142,69.42857142857143,202.14285714285714,291.42857142857144,288.2857142857143,870.2857142857143
76,2020-05-16,DE,7.571428571428571,11.857142857142858,63.57142857142857,189.14285714285714,271.42857142857144,269.2857142857143,812.8571428571429
77,2020-05-17,DE,7.285714285714286,11.714285714285714,58.857142857142854,177.28571428571428,249.28571428571428,254.71428571428572,759.1428571428571
78,2020-05-18,DE,6.857142857142857,11.142857142857142,56.42857142857143,166.28571428571428,231.85714285714286,241.71428571428572,714.2857142857143
79,2020-05-19,DE,6.857142857142857,11.0,53.857142857142854,156.42857142857142,216.71428571428572,227.85714285714286,672.7142857142857
80,2020-05-20,DE,7.0,10.571428571428571,53.285714285714285,147.28571428571428,203.85714285714286,214.14285714285714,636.1428571428571
81,2020-05-21,DE,7.142857142857143,9.428571428571429,54.285714285714285,139.0,193.14285714285714,199.28571428571428,602.2857142857143
82,2020-05-22,DE,6.714285714285714,7.714285714285714,53.142857142857146,130.28571428571428,184.85714285714286,187.57142857142858,570.2857142857143
83,2020-05-23,DE,5.857142857142857,6.142857142857143,54.0,126.42857142857143,176.71428571428572,180.85714285714286,550.0
84,2020-05-24,DE,4.857142857142857,5.0,53.714285714285715,124.28571428571429,173.14285714285714,169.0,530.0
85,2020-05-25,DE,4.142857142857143,3.7142857142857144,52.0,121.14285714285714,168.42857142857142,159.28571428571428,508.7142857142857
86,2020-05-26,DE,3.4285714285714284,2.4285714285714284,51.285714285714285,121.14285714285714,167.42857142857142,154.0,499.7142857142857
